"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Model.nlogo"
"calibration"
"11/24/2024 17:54:31:125 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","4","0","4"
"[run number]","number-of-workers","number-of-teams","movement-across-teams","share-of-presentees","exogenous-sickness","contagiousness","severity","recovery-days","slower-recovery","immunity-days","max-sick-leave-days","[step]","mean [infections] of turtles"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","3","0"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","3","0"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","3","0"
"3","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","3","0"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","3","0"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","3","0"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","7","0"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","7","0"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","7","0"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","7","0"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","7","0.005"
"3","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","7","0"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","11","0"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","11","0"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","11","0"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","11","0.005"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","15","0"
"3","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","11","0"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","15","0"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","11","0"
"3","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","15","0"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","15","0.005"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","15","0"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","19","0"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","15","0"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","19","0"
"3","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","19","0"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","23","0"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","19","0"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","19","0"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","19","0.005"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","23","0"
"3","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","23","0"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","23","0"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","27","0"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","27","0"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","23","0"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","23","0.005"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","27","0"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","31","0"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","27","0"
"3","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","27","0"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","31","0"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","27","0.005"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","31","0"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","31","0"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","35","0"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","35","0"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","39","0"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","39","0"
"3","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","31","0"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","35","0"
"3","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","35","0"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","39","0"
"3","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","39","0"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","43","0.005"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","43","0"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","43","0.005"
"3","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","43","0"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","31","0.005"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","35","0"
"3","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","47","0"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","39","0"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","35","0.005"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","47","0"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","43","0"
"3","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","51","0"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","47","0"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","39","0.005"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","43","0.005"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","47","0.01"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","51","0"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","47","0.005"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","51","0"
"3","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","55","0"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","47","0.015"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","51","0.005"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","55","0"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","51","0.02"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","59","0"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","63","0"
"3","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","59","0"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","55","0"
"3","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","63","0"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","51","0.025"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","55","0.005"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","59","0"
"3","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","67","0"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","55","0.04"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","59","0.005"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","63","0"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","67","0"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","63","0.005"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","67","0.005"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","67","0.005"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","55","0.04"
"3","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","71","0"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","59","0.04"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","63","0.065"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","71","0"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","75","0"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","67","0.085"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","79","0"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","59","0.055"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","83","0"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","71","0.005"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","87","0"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","71","0.01"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","75","0.005"
"3","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","75","0.005"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","91","0"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","79","0.01"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","83","0.01"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","71","0.125"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","75","0.035"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","87","0.01"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","79","0.085"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","95","0"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","63","0.1"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","75","0.165"
"3","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","79","0.01"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","67","0.155"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","79","0.225"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","91","0.01"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","83","0.14"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","95","0.01"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","71","0.19"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","83","0.275"
"3","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","83","0.02"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","75","0.22"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","87","0.18"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","79","0.28"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","87","0.345"
"3","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","87","0.04"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","91","0.21"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","83","0.325"
"3","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","91","0.06"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","91","0.42"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","87","0.395"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","95","0.465"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","99","0.005"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","95","0.245"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","91","0.475"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","99","0.515"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","95","0.545"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","99","0.01"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","103","0.005"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","103","0.575"
"3","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","95","0.08"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","103","0.015"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","107","0.005"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","107","0.015"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","111","0.005"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","115","0.005"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","111","0.015"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","99","0.61"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","115","0.015"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","119","0.005"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","123","0.005"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","119","0.015"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","99","0.285"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","107","0.62"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","103","0.345"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","123","0.015"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","127","0.005"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","127","0.015"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","131","0.005"
"3","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","99","0.095"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","131","0.015"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","135","0.005"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","103","0.645"
"3","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","103","0.145"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","135","0.015"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","107","0.445"
"3","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","107","0.185"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","139","0.005"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","139","0.015"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","143","0.005"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","111","0.505"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","147","0.005"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","151","0.005"
"3","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","111","0.23"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","111","0.7"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","143","0.015"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","147","0.015"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","151","0.015"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","115","0.74"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","155","0.015"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","155","0.005"
"3","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","115","0.295"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","159","0.015"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","159","0.005"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","115","0.565"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","107","0.7"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","163","0.005"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","111","0.735"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","167","0.005"
"3","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","119","0.39"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","119","0.79"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","119","0.615"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","171","0.005"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","115","0.765"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","175","0.005"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","123","0.66"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","123","0.845"
"3","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","123","0.47"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","127","0.875"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","127","0.695"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","119","0.8"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","179","0.005"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","131","0.755"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","131","0.895"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","183","0.005"
"3","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","127","0.535"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","163","0.02"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","135","0.8"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","187","0.005"
"3","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","131","0.61"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","135","0.895"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","123","0.81"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","191","0.005"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","139","0.82"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","167","0.025"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","139","0.905"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","195","0.005"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","143","0.825"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","199","0.005"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","143","0.91"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","147","0.92"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","127","0.82"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","203","0.005"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","171","0.04"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","151","0.92"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","207","0.01"
